"","feature","n_unique","missing_rate"
"1","sex",2,0
"2","smoking_status",3,0
"3","center",4,0
"4","intervention",2,0
"5","type1_diabetes",2,0
"6","type2_diabetes",2,0
"7","hypercholesterolemia",2,0
"8","hypolipidemic_meds",2,0.0236111111111111
"9","OSA",2,0
"10","renal_insuf",2,0
"11","hypertension",2,0
"12","COPD",2,0
"13","stroke",2,0
"14","heart_failure",2,0
"15","cardiomyopathy",2,0
"16","antirrythmic_meds",2,0
"17","LA_enlargment",4,0
"18","LVEF",4,0
"19","AF_type",2,0
"20","previous_ablation",2,0
"21","ERAF",2,0
"22","AF_recurrence",2,0
