Model,Metric,Dataset,Score
Elastic Net,ROC-AUC,Train,0.5696286607672028
Elastic Net,ROC-AUC,Validation,0.5791505791505791
Elastic Net,ROC-AUC,Train,0.5747602795384366
Elastic Net,ROC-AUC,Validation,0.5398813447593935
Elastic Net,ROC-AUC,Train,0.5726709845614892
Elastic Net,ROC-AUC,Validation,0.5570776255707763
Elastic Net,ROC-AUC,Train,0.5590553586704142
Elastic Net,ROC-AUC,Validation,0.6125244618395304
Elastic Net,ROC-AUC,Train,0.5716526131410649
Elastic Net,ROC-AUC,Validation,0.5632746249184605
Elastic Net,PR-AUC,Train,0.4206180300846965
Elastic Net,PR-AUC,Validation,0.4935622291626767
Elastic Net,PR-AUC,Train,0.4310058172344813
Elastic Net,PR-AUC,Validation,0.4393995159783594
Elastic Net,PR-AUC,Train,0.44738351079102795
Elastic Net,PR-AUC,Validation,0.3881354609733074
Elastic Net,PR-AUC,Train,0.42171046723374206
Elastic Net,PR-AUC,Validation,0.47310322874775057
Elastic Net,PR-AUC,Train,0.4365481330857681
Elastic Net,PR-AUC,Validation,0.42482146706914303
Elastic Net,Accuracy,Test,0.6388888888888888
Elastic Net,Precision,Test,0.0
Elastic Net,Recall,Test,0.0
Elastic Net,Specificity,Test,1.0
Elastic Net,F1-Score,Test,0.0
Elastic Net,ROC-AUC,Test,0.5735785953177258
Elastic Net,PR-AUC,Test,0.48356044884969107
SVM,ROC-AUC,Train,0.6069056426396354
SVM,ROC-AUC,Validation,0.5077220077220077
SVM,ROC-AUC,Train,0.5615147082723875
SVM,ROC-AUC,Validation,0.6450230718523401
SVM,ROC-AUC,Train,0.5799217890749114
SVM,ROC-AUC,Validation,0.5929549902152642
SVM,ROC-AUC,Train,0.5788728665118743
SVM,ROC-AUC,Validation,0.6187214611872146
SVM,ROC-AUC,Train,0.576907409670455
SVM,ROC-AUC,Validation,0.5733855185909981
SVM,PR-AUC,Train,0.47461751228591154
SVM,PR-AUC,Validation,0.49491176481604787
SVM,PR-AUC,Train,0.4652589794326366
SVM,PR-AUC,Validation,0.495549880247258
SVM,PR-AUC,Train,0.47343641042161294
SVM,PR-AUC,Validation,0.45601991748244186
SVM,PR-AUC,Train,0.45420290978509026
SVM,PR-AUC,Validation,0.5069103449609738
SVM,PR-AUC,Train,0.49313333974037865
SVM,PR-AUC,Validation,0.4406180915220945
SVM,Accuracy,Test,0.6388888888888888
SVM,Precision,Test,0.0
SVM,Recall,Test,0.0
SVM,Specificity,Test,1.0
SVM,F1-Score,Test,0.0
SVM,ROC-AUC,Test,0.5700250836120401
SVM,PR-AUC,Test,0.4295412921042837
Random Forest,ROC-AUC,Train,0.659489893932272
Random Forest,ROC-AUC,Validation,0.5596846846846847
Random Forest,ROC-AUC,Train,0.6890134893547862
Random Forest,ROC-AUC,Validation,0.5763019116677653
Random Forest,ROC-AUC,Train,0.6766161554442136
Random Forest,ROC-AUC,Validation,0.5318003913894325
Random Forest,ROC-AUC,Train,0.6938164487351828
Random Forest,ROC-AUC,Validation,0.5236464448793217
