Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6391304347826087
Elastic Net,Accuracy,Validation,0.6637931034482759
Elastic Net,Accuracy,Train,0.6334056399132321
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6377440347071583
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6260869565217392
Elastic Net,Precision,Train,0.5454545454545454
Elastic Net,Precision,Validation,0.7142857142857143
Elastic Net,Precision,Train,0.4
Elastic Net,Precision,Validation,1.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.75
Elastic Net,Precision,Validation,0.0
Elastic Net,Recall,Train,0.03592814371257485
Elastic Net,Recall,Validation,0.11904761904761904
Elastic Net,Recall,Train,0.011904761904761904
Elastic Net,Recall,Validation,0.024390243902439025
Elastic Net,Recall,Train,0.011976047904191617
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.0
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.017964071856287425
Elastic Net,Recall,Validation,0.0
Elastic Net,Specificity,Train,0.9829351535836177
Elastic Net,Specificity,Validation,0.972972972972973
Elastic Net,Specificity,Train,0.9897610921501706
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,0.9965986394557823
Elastic Net,Specificity,Validation,0.9863013698630136
Elastic Net,ROC-AUC,Train,0.6104412335738081
Elastic Net,ROC-AUC,Validation,0.5775418275418276
Elastic Net,ROC-AUC,Train,0.6019726149845605
Elastic Net,ROC-AUC,Validation,0.581081081081081
Elastic Net,ROC-AUC,Train,0.5935272312517821
Elastic Net,ROC-AUC,Validation,0.5955642530984997
Elastic Net,ROC-AUC,Train,0.5847997881787446
Elastic Net,ROC-AUC,Validation,0.6376386170906719
Elastic Net,ROC-AUC,Train,0.6120310399608946
Elastic Net,ROC-AUC,Validation,0.5492498369210698
Elastic Net,PR-AUC,Train,0.4586290464293303
Elastic Net,PR-AUC,Validation,0.5087460599760512
Elastic Net,PR-AUC,Train,0.4551376343915041
Elastic Net,PR-AUC,Validation,0.509168784026634
Elastic Net,PR-AUC,Train,0.4750021375575454
Elastic Net,PR-AUC,Validation,0.4272691338128253
Elastic Net,PR-AUC,Train,0.46008739498496753
Elastic Net,PR-AUC,Validation,0.4883909616918367
Elastic Net,PR-AUC,Train,0.4821707910651382
Elastic Net,PR-AUC,Validation,0.4112740620990814
Elastic Net,Accuracy,Test,0.6388888888888888
Elastic Net,Precision,Test,0.0
Elastic Net,Recall,Test,0.0
Elastic Net,Specificity,Test,1.0
Elastic Net,F1-Score,Test,0.0
Elastic Net,ROC-AUC,Test,0.5840301003344481
Elastic Net,PR-AUC,Test,0.4835956382403563
SVM,Accuracy,Train,0.3630434782608696
SVM,Accuracy,Validation,0.3620689655172414
SVM,Accuracy,Train,0.6355748373101953
SVM,Accuracy,Validation,0.6434782608695652
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Precision,Train,0.3630434782608696
SVM,Precision,Validation,0.3620689655172414
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Recall,Train,1.0
SVM,Recall,Validation,1.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Specificity,Train,0.0
SVM,Specificity,Validation,0.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,ROC-AUC,Train,0.6093989495411907
SVM,ROC-AUC,Validation,0.5746460746460746
SVM,ROC-AUC,Train,0.5972696245733788
SVM,ROC-AUC,Validation,0.6110744891232696
SVM,ROC-AUC,Train,0.5964601409426046
SVM,ROC-AUC,Validation,0.598825831702544
SVM,ROC-AUC,Train,0.5969285917959998
SVM,ROC-AUC,Validation,0.6144814090019569
SVM,ROC-AUC,Train,0.6148417450812661
SVM,ROC-AUC,Validation,0.5365296803652968
SVM,PR-AUC,Train,0.46229684964708784
SVM,PR-AUC,Validation,0.5102797651014653
SVM,PR-AUC,Train,0.4492042567328432
SVM,PR-AUC,Validation,0.5376350672852946
SVM,PR-AUC,Train,0.4736811641947963
SVM,PR-AUC,Validation,0.43258116605328745
SVM,PR-AUC,Train,0.46761145991804004
SVM,PR-AUC,Validation,0.46498451883793623
SVM,PR-AUC,Train,0.47142207418357673
SVM,PR-AUC,Validation,0.43714590000153586
