Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6391304347826087
Elastic Net,Accuracy,Validation,0.6637931034482759
Elastic Net,Accuracy,Train,0.6334056399132321
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6377440347071583
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6260869565217392
Elastic Net,Precision,Train,0.5454545454545454
Elastic Net,Precision,Validation,0.7142857142857143
Elastic Net,Precision,Train,0.4
Elastic Net,Precision,Validation,1.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.75
Elastic Net,Precision,Validation,0.0
Elastic Net,Recall,Train,0.03592814371257485
Elastic Net,Recall,Validation,0.11904761904761904
Elastic Net,Recall,Train,0.011904761904761904
Elastic Net,Recall,Validation,0.024390243902439025
Elastic Net,Recall,Train,0.011976047904191617
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.0
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.017964071856287425
Elastic Net,Recall,Validation,0.0
Elastic Net,Specificity,Train,0.9829351535836177
Elastic Net,Specificity,Validation,0.972972972972973
Elastic Net,Specificity,Train,0.9897610921501706
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,0.9965986394557823
Elastic Net,Specificity,Validation,0.9863013698630136
Elastic Net,F1-Score,Train,0.06741573033707865
Elastic Net,F1-Score,Validation,0.20408163265306123
Elastic Net,F1-Score,Train,0.023121387283236993
Elastic Net,F1-Score,Validation,0.047619047619047616
Elastic Net,F1-Score,Train,0.023668639053254437
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.0
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.03508771929824561
Elastic Net,F1-Score,Validation,0.0
Elastic Net,ROC-AUC,Train,0.6102164272138316
Elastic Net,ROC-AUC,Validation,0.5772200772200772
Elastic Net,ROC-AUC,Train,0.6018507232244434
Elastic Net,ROC-AUC,Validation,0.5797626895187871
Elastic Net,ROC-AUC,Train,0.5934661289665566
Elastic Net,ROC-AUC,Validation,0.5955642530984997
Elastic Net,ROC-AUC,Train,0.5848405230355616
Elastic Net,ROC-AUC,Validation,0.6373124592302676
Elastic Net,ROC-AUC,Train,0.6116847936779503
Elastic Net,ROC-AUC,Validation,0.5489236790606654
Elastic Net,PR-AUC,Train,0.45853598327119355
Elastic Net,PR-AUC,Validation,0.5087099420277431
Elastic Net,PR-AUC,Train,0.4551029171446198
Elastic Net,PR-AUC,Validation,0.5092357045901411
Elastic Net,PR-AUC,Train,0.4750075296366563
Elastic Net,PR-AUC,Validation,0.4272691338128253
Elastic Net,PR-AUC,Train,0.4603899990933696
Elastic Net,PR-AUC,Validation,0.48793332542756807
Elastic Net,PR-AUC,Train,0.4820447240859152
Elastic Net,PR-AUC,Validation,0.4113194576196157
Elastic Net,Accuracy,Test,0.6388888888888888
Elastic Net,Precision,Test,0.0
Elastic Net,Recall,Test,0.0
Elastic Net,Specificity,Test,1.0
Elastic Net,F1-Score,Test,0.0
Elastic Net,ROC-AUC,Test,0.5838210702341138
Elastic Net,PR-AUC,Test,0.4836733431999341
SVM,Accuracy,Train,0.5521739130434783
SVM,Accuracy,Validation,0.4827586206896552
SVM,Accuracy,Train,0.5704989154013015
SVM,Accuracy,Validation,0.6260869565217392
SVM,Accuracy,Train,0.6290672451193059
SVM,Accuracy,Validation,0.5739130434782609
SVM,Accuracy,Train,0.6399132321041214
SVM,Accuracy,Validation,0.6
SVM,Accuracy,Train,0.6073752711496746
SVM,Accuracy,Validation,0.5826086956521739
SVM,Precision,Train,0.4190871369294606
SVM,Precision,Validation,0.37142857142857144
SVM,Precision,Train,0.4305555555555556
SVM,Precision,Validation,0.47368421052631576
SVM,Precision,Train,0.4852941176470588
SVM,Precision,Validation,0.4
SVM,Precision,Train,0.5045871559633027
SVM,Precision,Validation,0.4375
SVM,Precision,Train,0.46195652173913043
SVM,Precision,Validation,0.42857142857142855
SVM,Recall,Train,0.6047904191616766
SVM,Recall,Validation,0.6190476190476191
SVM,Recall,Train,0.5535714285714286
SVM,Recall,Validation,0.43902439024390244
SVM,Recall,Train,0.39520958083832336
SVM,Recall,Validation,0.3333333333333333
SVM,Recall,Train,0.32934131736526945
SVM,Recall,Validation,0.3333333333333333
SVM,Recall,Train,0.5089820359281437
SVM,Recall,Validation,0.42857142857142855
SVM,Specificity,Train,0.5221843003412969
SVM,Specificity,Validation,0.40540540540540543
SVM,Specificity,Train,0.5802047781569966
SVM,Specificity,Validation,0.7297297297297297
SVM,Specificity,Train,0.7619047619047619
SVM,Specificity,Validation,0.7123287671232876
SVM,Specificity,Train,0.8163265306122449
SVM,Specificity,Validation,0.7534246575342466
SVM,Specificity,Train,0.6632653061224489
SVM,Specificity,Validation,0.6712328767123288
SVM,F1-Score,Train,0.4950980392156863
SVM,F1-Score,Validation,0.4642857142857143
SVM,F1-Score,Train,0.484375
SVM,F1-Score,Validation,0.45569620253164556
SVM,F1-Score,Train,0.43564356435643564
