Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.7282608695652174
Elastic Net,Accuracy,Validation,0.6551724137931034
Elastic Net,Accuracy,Train,0.7114967462039046
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6854663774403471
Elastic Net,Accuracy,Validation,0.7043478260869566
Elastic Net,Accuracy,Train,0.6984815618221258
Elastic Net,Accuracy,Validation,0.6869565217391305
Elastic Net,Accuracy,Train,0.6854663774403471
Elastic Net,Accuracy,Validation,0.7304347826086957
Elastic Net,Precision,Train,0.7058823529411765
Elastic Net,Precision,Validation,0.5357142857142857
Elastic Net,Precision,Train,0.6881720430107527
Elastic Net,Precision,Validation,0.5172413793103449
Elastic Net,Precision,Train,0.6341463414634146
Elastic Net,Precision,Validation,0.6666666666666666
Elastic Net,Precision,Train,0.6428571428571429
Elastic Net,Precision,Validation,0.65
Elastic Net,Precision,Train,0.6195652173913043
Elastic Net,Precision,Validation,0.7391304347826086
Elastic Net,Recall,Train,0.4311377245508982
Elastic Net,Recall,Validation,0.35714285714285715
Elastic Net,Recall,Train,0.38095238095238093
Elastic Net,Recall,Validation,0.36585365853658536
Elastic Net,Recall,Train,0.31137724550898205
Elastic Net,Recall,Validation,0.38095238095238093
Elastic Net,Recall,Train,0.3772455089820359
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.3413173652694611
Elastic Net,Recall,Validation,0.40476190476190477
Elastic Net,Specificity,Train,0.8976109215017065
Elastic Net,Specificity,Validation,0.8243243243243243
Elastic Net,Specificity,Train,0.9010238907849829
Elastic Net,Specificity,Validation,0.8108108108108109
Elastic Net,Specificity,Train,0.8979591836734694
Elastic Net,Specificity,Validation,0.8904109589041096
Elastic Net,Specificity,Train,0.8809523809523809
Elastic Net,Specificity,Validation,0.9041095890410958
Elastic Net,Specificity,Train,0.8809523809523809
Elastic Net,Specificity,Validation,0.9178082191780822
Elastic Net,F1-Score,Train,0.5353159851301115
Elastic Net,F1-Score,Validation,0.42857142857142855
Elastic Net,F1-Score,Train,0.4904214559386973
Elastic Net,F1-Score,Validation,0.42857142857142855
Elastic Net,F1-Score,Train,0.41767068273092367
Elastic Net,F1-Score,Validation,0.48484848484848486
Elastic Net,F1-Score,Train,0.47547169811320755
Elastic Net,F1-Score,Validation,0.41935483870967744
Elastic Net,F1-Score,Train,0.44015444015444016
Elastic Net,F1-Score,Validation,0.5230769230769231
Elastic Net,ROC-AUC,Train,0.7591097668144939
Elastic Net,ROC-AUC,Validation,0.6637709137709137
Elastic Net,ROC-AUC,Train,0.7660287664553875
Elastic Net,ROC-AUC,Validation,0.6272247857613712
Elastic Net,ROC-AUC,Train,0.7292557741659538
Elastic Net,ROC-AUC,Validation,0.7442922374429224
Elastic Net,ROC-AUC,Train,0.7437777506212067
Elastic Net,ROC-AUC,Validation,0.6682974559686888
Elastic Net,ROC-AUC,Train,0.7320053770010999
Elastic Net,ROC-AUC,Validation,0.7377690802348337
Elastic Net,PR-AUC,Train,0.6519154931335719
Elastic Net,PR-AUC,Validation,0.5474060203969516
Elastic Net,PR-AUC,Train,0.6709736595130584
Elastic Net,PR-AUC,Validation,0.4651330781727441
Elastic Net,PR-AUC,Train,0.6242347983435726
