Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6391304347826087
Elastic Net,Accuracy,Validation,0.6551724137931034
Elastic Net,Accuracy,Train,0.6355748373101953
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6399132321041214
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6442516268980477
Elastic Net,Accuracy,Validation,0.6260869565217392
Elastic Net,Precision,Train,0.5384615384615384
Elastic Net,Precision,Validation,0.5833333333333334
Elastic Net,Precision,Train,0.5
Elastic Net,Precision,Validation,1.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.7142857142857143
Elastic Net,Precision,Validation,0.0
Elastic Net,Recall,Train,0.041916167664670656
Elastic Net,Recall,Validation,0.16666666666666666
Elastic Net,Recall,Train,0.023809523809523808
Elastic Net,Recall,Validation,0.024390243902439025
Elastic Net,Recall,Train,0.011976047904191617
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.005988023952095809
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.029940119760479042
Elastic Net,Recall,Validation,0.0
Elastic Net,Specificity,Train,0.9795221843003413
Elastic Net,Specificity,Validation,0.9324324324324325
Elastic Net,Specificity,Train,0.9863481228668942
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,0.9931972789115646
Elastic Net,Specificity,Validation,0.9863013698630136
Elastic Net,F1-Score,Train,0.07777777777777778
Elastic Net,F1-Score,Validation,0.25925925925925924
Elastic Net,F1-Score,Train,0.045454545454545456
Elastic Net,F1-Score,Validation,0.047619047619047616
Elastic Net,F1-Score,Train,0.023668639053254437
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.011904761904761904
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.05747126436781609
Elastic Net,F1-Score,Validation,0.0
Elastic Net,ROC-AUC,Train,0.6109521571192087
Elastic Net,ROC-AUC,Validation,0.5785070785070785
Elastic Net,ROC-AUC,Train,0.6026938078985861
Elastic Net,ROC-AUC,Validation,0.5814106789716545
Elastic Net,ROC-AUC,Train,0.5940975192472198
Elastic Net,ROC-AUC,Validation,0.596542726679713
Elastic Net,ROC-AUC,Train,0.5863680801661982
Elastic Net,ROC-AUC,Validation,0.6382909328114807
Elastic Net,ROC-AUC,Train,0.6133549228074464
Elastic Net,ROC-AUC,Validation,0.5443574690150033
Elastic Net,PR-AUC,Train,0.45882876970179437
Elastic Net,PR-AUC,Validation,0.5089496710491858
Elastic Net,PR-AUC,Train,0.4554125328420283
Elastic Net,PR-AUC,Validation,0.5081883524810219
Elastic Net,PR-AUC,Train,0.4754283909385898
Elastic Net,PR-AUC,Validation,0.42808138128260403
Elastic Net,PR-AUC,Train,0.4613285505403003
Elastic Net,PR-AUC,Validation,0.488550509199267
Elastic Net,PR-AUC,Train,0.4831209235028721
Elastic Net,PR-AUC,Validation,0.40946527025980345
Elastic Net,Accuracy,Test,0.6388888888888888
Elastic Net,Precision,Test,0.0
Elastic Net,Recall,Test,0.0
Elastic Net,Specificity,Test,1.0
Elastic Net,F1-Score,Test,0.0
Elastic Net,ROC-AUC,Test,0.5842391304347826
Elastic Net,PR-AUC,Test,0.4830227960748145
SVM,Accuracy,Train,0.5217391304347826
SVM,Accuracy,Validation,0.45689655172413796
SVM,Accuracy,Train,0.5422993492407809
SVM,Accuracy,Validation,0.5391304347826087
SVM,Accuracy,Train,0.6073752711496746
SVM,Accuracy,Validation,0.5826086956521739
SVM,Accuracy,Train,0.5661605206073753
SVM,Accuracy,Validation,0.591304347826087
SVM,Accuracy,Train,0.5748373101952278
SVM,Accuracy,Validation,0.591304347826087
SVM,Precision,Train,0.4043321299638989
SVM,Precision,Validation,0.36363636363636365
SVM,Precision,Train,0.411522633744856
SVM,Precision,Validation,0.38461538461538464
SVM,Precision,Train,0.4602272727272727
SVM,Precision,Validation,0.42857142857142855
SVM,Precision,Train,0.42105263157894735
SVM,Precision,Validation,0.45614035087719296
SVM,Precision,Train,0.4325581395348837
SVM,Precision,Validation,0.4444444444444444
SVM,Recall,Train,0.6706586826347305
SVM,Recall,Validation,0.6666666666666666
SVM,Recall,Train,0.5952380952380952
SVM,Recall,Validation,0.4878048780487805
SVM,Recall,Train,0.48502994011976047
SVM,Recall,Validation,0.42857142857142855
SVM,Recall,Train,0.5269461077844312
SVM,Recall,Validation,0.6190476190476191
SVM,Recall,Train,0.5568862275449101
SVM,Recall,Validation,0.47619047619047616
SVM,Specificity,Train,0.43686006825938567
SVM,Specificity,Validation,0.33783783783783783
SVM,Specificity,Train,0.5119453924914675
SVM,Specificity,Validation,0.5675675675675675
SVM,Specificity,Train,0.6768707482993197
SVM,Specificity,Validation,0.6712328767123288
SVM,Specificity,Train,0.5884353741496599
SVM,Specificity,Validation,0.5753424657534246
SVM,Specificity,Train,0.5850340136054422
SVM,Specificity,Validation,0.6575342465753424
SVM,F1-Score,Train,0.5045045045045045
SVM,F1-Score,Validation,0.47058823529411764
SVM,F1-Score,Train,0.48661800486618007
SVM,F1-Score,Validation,0.43010752688172044
SVM,F1-Score,Train,0.47230320699708456
SVM,F1-Score,Validation,0.42857142857142855
SVM,F1-Score,Train,0.46808510638297873
SVM,F1-Score,Validation,0.5252525252525253
SVM,F1-Score,Train,0.4869109947643979
SVM,F1-Score,Validation,0.45977011494252873
SVM,ROC-AUC,Train,0.5942143017718828
SVM,ROC-AUC,Validation,0.58011583011583
SVM,ROC-AUC,Train,0.5898748577929466
SVM,ROC-AUC,Validation,0.5636123928806855
SVM,ROC-AUC,Train,0.5859709153122327
SVM,ROC-AUC,Validation,0.5714285714285714
SVM,ROC-AUC,Train,0.5758890382500306
SVM,ROC-AUC,Validation,0.6268754076973255
SVM,ROC-AUC,Train,0.5939651309625646
SVM,ROC-AUC,Validation,0.5590345727332029
SVM,PR-AUC,Train,0.4478813038546757
SVM,PR-AUC,Validation,0.5222043383519386
SVM,PR-AUC,Train,0.4483444843348504
SVM,PR-AUC,Validation,0.5059203620237166
SVM,PR-AUC,Train,0.47915563053404736
SVM,PR-AUC,Validation,0.408879756532049
SVM,PR-AUC,Train,0.45565135479517166
SVM,PR-AUC,Validation,0.4761476838278482
SVM,PR-AUC,Train,0.4647512968560105
SVM,PR-AUC,Validation,0.4416334391558103
SVM,Accuracy,Test,0.5416666666666666
SVM,Precision,Test,0.3870967741935484
SVM,Recall,Test,0.46153846153846156
SVM,Specificity,Test,0.5869565217391305
SVM,F1-Score,Test,0.42105263157894735
