Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6891304347826087
Elastic Net,Accuracy,Validation,0.6896551724137931
Elastic Net,Accuracy,Train,0.7006507592190889
Elastic Net,Accuracy,Validation,0.6608695652173913
Elastic Net,Accuracy,Train,0.7223427331887202
Elastic Net,Accuracy,Validation,0.6260869565217392
Elastic Net,Accuracy,Train,0.7136659436008677
Elastic Net,Accuracy,Validation,0.6434782608695652
Elastic Net,Accuracy,Train,0.6963123644251626
Elastic Net,Accuracy,Validation,0.7043478260869566
Elastic Net,Precision,Train,0.6224489795918368
Elastic Net,Precision,Validation,0.59375
Elastic Net,Precision,Train,0.6494845360824743
Elastic Net,Precision,Validation,0.5652173913043478
Elastic Net,Precision,Train,0.693069306930693
Elastic Net,Precision,Validation,0.47619047619047616
Elastic Net,Precision,Train,0.6804123711340206
Elastic Net,Precision,Validation,0.5238095238095238
Elastic Net,Precision,Train,0.6372549019607843
Elastic Net,Precision,Validation,0.64
Elastic Net,Recall,Train,0.3652694610778443
Elastic Net,Recall,Validation,0.4523809523809524
Elastic Net,Recall,Train,0.3772455089820359
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.41916167664670656
Elastic Net,Recall,Validation,0.23809523809523808
Elastic Net,Recall,Train,0.39520958083832336
Elastic Net,Recall,Validation,0.2619047619047619
Elastic Net,Recall,Train,0.3869047619047619
Elastic Net,Recall,Validation,0.3902439024390244
Elastic Net,Specificity,Train,0.8737201365187713
Elastic Net,Specificity,Validation,0.8243243243243243
Elastic Net,Specificity,Train,0.8843537414965986
Elastic Net,Specificity,Validation,0.863013698630137
Elastic Net,Specificity,Train,0.8945578231292517
Elastic Net,Specificity,Validation,0.8493150684931506
Elastic Net,Specificity,Train,0.8945578231292517
Elastic Net,Specificity,Validation,0.863013698630137
Elastic Net,Specificity,Train,0.8737201365187713
Elastic Net,Specificity,Validation,0.8783783783783784
Elastic Net,ROC-AUC,Train,0.7263697860252194
Elastic Net,ROC-AUC,Validation,0.731981981981982
Elastic Net,ROC-AUC,Train,0.7415780683530897
Elastic Net,ROC-AUC,Validation,0.7093933463796477
Elastic Net,ROC-AUC,Train,0.7636359933194835
Elastic Net,ROC-AUC,Validation,0.5939334637964775
Elastic Net,ROC-AUC,Train,0.7386044238054503
Elastic Net,ROC-AUC,Validation,0.685583822570124
Elastic Net,ROC-AUC,Train,0.7558711197789696
Elastic Net,ROC-AUC,Validation,0.6446934739617666
Elastic Net,PR-AUC,Train,0.6123212762176046
Elastic Net,PR-AUC,Validation,0.6653166296889443
Elastic Net,PR-AUC,Train,0.6407363146820595
Elastic Net,PR-AUC,Validation,0.631678641231599
Elastic Net,PR-AUC,Train,0.6734649663842749
Elastic Net,PR-AUC,Validation,0.46375198340890955
Elastic Net,PR-AUC,Train,0.6518135769797698
Elastic Net,PR-AUC,Validation,0.5586914278012418
Elastic Net,PR-AUC,Train,0.6654570697708047
Elastic Net,PR-AUC,Validation,0.5451693035369434
Elastic Net,Accuracy,Test,0.6527777777777778
Elastic Net,Precision,Test,0.525
Elastic Net,Recall,Test,0.40384615384615385
Elastic Net,Specificity,Test,0.7934782608695652
Elastic Net,F1-Score,Test,0.45652173913043476
Elastic Net,ROC-AUC,Test,0.6732859531772575
Elastic Net,PR-AUC,Test,0.5243899942247872
SVM,Accuracy,Train,0.758695652173913
SVM,Accuracy,Validation,0.6551724137931034
SVM,Accuracy,Train,0.7613882863340564
SVM,Accuracy,Validation,0.6260869565217392
SVM,Accuracy,Train,0.7809110629067245
SVM,Accuracy,Validation,0.6086956521739131
SVM,Accuracy,Train,0.7722342733188721
SVM,Accuracy,Validation,0.6434782608695652
SVM,Accuracy,Train,0.7657266811279827
SVM,Accuracy,Validation,0.6608695652173913
SVM,Precision,Train,0.6359223300970874
SVM,Precision,Validation,0.5178571428571429
SVM,Precision,Train,0.6432160804020101
SVM,Precision,Validation,0.49122807017543857
SVM,Precision,Train,0.6736842105263158
SVM,Precision,Validation,0.4634146341463415
SVM,Precision,Train,0.6614583333333334
SVM,Precision,Validation,0.5098039215686274
SVM,Precision,Train,0.6442307692307693
SVM,Precision,Validation,0.5192307692307693
SVM,Recall,Train,0.7844311377245509
SVM,Recall,Validation,0.6904761904761905
SVM,Recall,Train,0.7664670658682635
SVM,Recall,Validation,0.6666666666666666
SVM,Recall,Train,0.7664670658682635
SVM,Recall,Validation,0.4523809523809524
SVM,Recall,Train,0.7604790419161677
SVM,Recall,Validation,0.6190476190476191
SVM,Recall,Train,0.7976190476190477
SVM,Recall,Validation,0.6585365853658537
SVM,Specificity,Train,0.7440273037542662
SVM,Specificity,Validation,0.6351351351351351
SVM,Specificity,Train,0.7585034013605442
SVM,Specificity,Validation,0.6027397260273972
SVM,Specificity,Train,0.7891156462585034
SVM,Specificity,Validation,0.6986301369863014
SVM,Specificity,Train,0.7789115646258503
SVM,Specificity,Validation,0.6575342465753424
SVM,Specificity,Train,0.7474402730375427
SVM,Specificity,Validation,0.6621621621621622
SVM,ROC-AUC,Train,0.8164149516666327
SVM,ROC-AUC,Validation,0.7413127413127413
SVM,ROC-AUC,Train,0.8289543362255081
SVM,ROC-AUC,Validation,0.6908023483365949
SVM,ROC-AUC,Train,0.8449427675261721
SVM,ROC-AUC,Validation,0.6418786692759296
SVM,ROC-AUC,Train,0.8269990630982932
SVM,ROC-AUC,Validation,0.7018917155903457
SVM,ROC-AUC,Train,0.841804810661466
SVM,ROC-AUC,Validation,0.6704021094264996
SVM,PR-AUC,Train,0.7617972123560647
SVM,PR-AUC,Validation,0.6271209302912745
SVM,PR-AUC,Train,0.787562569686755
SVM,PR-AUC,Validation,0.6071095870494005
SVM,PR-AUC,Train,0.7963002712504331
SVM,PR-AUC,Validation,0.5023313272580339
SVM,PR-AUC,Train,0.7835400871068229
SVM,PR-AUC,Validation,0.5930495840374211
