Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.717391304347826
Elastic Net,Accuracy,Validation,0.6551724137931034
Elastic Net,Accuracy,Train,0.7093275488069414
Elastic Net,Accuracy,Validation,0.6173913043478261
Elastic Net,Accuracy,Train,0.6919739696312365
Elastic Net,Accuracy,Validation,0.7043478260869566
Elastic Net,Accuracy,Train,0.6919739696312365
Elastic Net,Accuracy,Validation,0.6956521739130435
Elastic Net,Accuracy,Train,0.6724511930585684
Elastic Net,Accuracy,Validation,0.7043478260869566
Elastic Net,Precision,Train,0.6831683168316832
Elastic Net,Precision,Validation,0.5357142857142857
Elastic Net,Precision,Train,0.6666666666666666
Elastic Net,Precision,Validation,0.4482758620689655
Elastic Net,Precision,Train,0.6582278481012658
Elastic Net,Precision,Validation,0.6818181818181818
Elastic Net,Precision,Train,0.6288659793814433
Elastic Net,Precision,Validation,0.6842105263157895
Elastic Net,Precision,Train,0.5816326530612245
Elastic Net,Precision,Validation,0.6666666666666666
Elastic Net,Recall,Train,0.41317365269461076
Elastic Net,Recall,Validation,0.35714285714285715
Elastic Net,Recall,Train,0.40476190476190477
Elastic Net,Recall,Validation,0.3170731707317073
Elastic Net,Recall,Train,0.31137724550898205
Elastic Net,Recall,Validation,0.35714285714285715
Elastic Net,Recall,Train,0.3652694610778443
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.3413173652694611
Elastic Net,Recall,Validation,0.38095238095238093
Elastic Net,Specificity,Train,0.8907849829351536
Elastic Net,Specificity,Validation,0.8243243243243243
Elastic Net,Specificity,Train,0.8839590443686007
Elastic Net,Specificity,Validation,0.7837837837837838
Elastic Net,Specificity,Train,0.9081632653061225
Elastic Net,Specificity,Validation,0.9041095890410958
Elastic Net,Specificity,Train,0.8775510204081632
Elastic Net,Specificity,Validation,0.9178082191780822
Elastic Net,Specificity,Train,0.8605442176870748
Elastic Net,Specificity,Validation,0.8904109589041096
Elastic Net,F1-Score,Train,0.5149253731343284
Elastic Net,F1-Score,Validation,0.42857142857142855
Elastic Net,F1-Score,Train,0.5037037037037037
Elastic Net,F1-Score,Validation,0.37142857142857144
Elastic Net,F1-Score,Train,0.42276422764227645
Elastic Net,F1-Score,Validation,0.46875
Elastic Net,F1-Score,Train,0.4621212121212121
Elastic Net,F1-Score,Validation,0.4262295081967213
Elastic Net,F1-Score,Train,0.43018867924528303
Elastic Net,F1-Score,Validation,0.48484848484848486
Elastic Net,ROC-AUC,Train,0.7616848214833133
Elastic Net,ROC-AUC,Validation,0.6631274131274132
Elastic Net,ROC-AUC,Train,0.7666585405493256
Elastic Net,ROC-AUC,Validation,0.6232696110744892
Elastic Net,ROC-AUC,Train,0.7328404415658479
Elastic Net,ROC-AUC,Validation,0.7296151337247228
Elastic Net,ROC-AUC,Train,0.7440017923337
Elastic Net,ROC-AUC,Validation,0.6692759295499022
Elastic Net,ROC-AUC,Train,0.7320461118579167
Elastic Net,ROC-AUC,Validation,0.7390737116764515
Elastic Net,PR-AUC,Train,0.6557409935821563
Elastic Net,PR-AUC,Validation,0.5521632959627988
Elastic Net,PR-AUC,Train,0.6725690779559931
Elastic Net,PR-AUC,Validation,0.4617151222256862
Elastic Net,PR-AUC,Train,0.623089033697508
Elastic Net,PR-AUC,Validation,0.6051825905551735
Elastic Net,PR-AUC,Train,0.6207173560133648
Elastic Net,PR-AUC,Validation,0.6079135943639447
Elastic Net,PR-AUC,Train,0.6014362163438441
Elastic Net,PR-AUC,Validation,0.6722687443551026
Elastic Net,Accuracy,Test,0.6597222222222222
Elastic Net,Precision,Test,0.5428571428571428
Elastic Net,Recall,Test,0.36538461538461536
Elastic Net,Specificity,Test,0.8260869565217391
Elastic Net,F1-Score,Test,0.4367816091954023
Elastic Net,ROC-AUC,Test,0.6847826086956521
Elastic Net,PR-AUC,Test,0.5848864850446471
