Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.7108695652173913
Elastic Net,Accuracy,Validation,0.6724137931034483
Elastic Net,Accuracy,Train,0.7136659436008677
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6811279826464208
Elastic Net,Accuracy,Validation,0.6869565217391305
Elastic Net,Accuracy,Train,0.6811279826464208
Elastic Net,Accuracy,Validation,0.6956521739130435
Elastic Net,Accuracy,Train,0.6811279826464208
Elastic Net,Accuracy,Validation,0.7304347826086957
Elastic Net,Precision,Train,0.6931818181818182
Elastic Net,Precision,Validation,0.5714285714285714
Elastic Net,Precision,Train,0.7045454545454546
Elastic Net,Precision,Validation,0.5185185185185185
Elastic Net,Precision,Train,0.6282051282051282
Elastic Net,Precision,Validation,0.65
Elastic Net,Precision,Train,0.6111111111111112
Elastic Net,Precision,Validation,0.6842105263157895
Elastic Net,Precision,Train,0.6190476190476191
Elastic Net,Precision,Validation,0.7619047619047619
Elastic Net,Recall,Train,0.3652694610778443
Elastic Net,Recall,Validation,0.38095238095238093
Elastic Net,Recall,Train,0.36904761904761907
Elastic Net,Recall,Validation,0.34146341463414637
Elastic Net,Recall,Train,0.2934131736526946
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.32934131736526945
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.31137724550898205
Elastic Net,Recall,Validation,0.38095238095238093
Elastic Net,Specificity,Train,0.9078498293515358
Elastic Net,Specificity,Validation,0.8378378378378378
Elastic Net,Specificity,Train,0.9112627986348123
Elastic Net,Specificity,Validation,0.8243243243243243
Elastic Net,Specificity,Train,0.9013605442176871
Elastic Net,Specificity,Validation,0.9041095890410958
Elastic Net,Specificity,Train,0.8809523809523809
Elastic Net,Specificity,Validation,0.9178082191780822
Elastic Net,Specificity,Train,0.891156462585034
Elastic Net,Specificity,Validation,0.9315068493150684
Elastic Net,F1-Score,Train,0.47843137254901963
Elastic Net,F1-Score,Validation,0.45714285714285713
Elastic Net,F1-Score,Train,0.484375
Elastic Net,F1-Score,Validation,0.4117647058823529
Elastic Net,F1-Score,Train,0.4
Elastic Net,F1-Score,Validation,0.41935483870967744
Elastic Net,F1-Score,Train,0.4280155642023346
Elastic Net,F1-Score,Validation,0.4262295081967213
Elastic Net,F1-Score,Train,0.41434262948207173
Elastic Net,F1-Score,Validation,0.5079365079365079
Elastic Net,ROC-AUC,Train,0.7550632523349206
Elastic Net,ROC-AUC,Validation,0.666988416988417
Elastic Net,ROC-AUC,Train,0.7650536323744515
Elastic Net,ROC-AUC,Validation,0.6255767963085036
Elastic Net,ROC-AUC,Train,0.7254470650535664
Elastic Net,ROC-AUC,Validation,0.7455968688845401
Elastic Net,ROC-AUC,Train,0.741292924355371
Elastic Net,ROC-AUC,Validation,0.6696020874103066
Elastic Net,ROC-AUC,Train,0.7259155159069616
Elastic Net,ROC-AUC,Validation,0.7423352902804958
Elastic Net,PR-AUC,Train,0.6488236278153635
Elastic Net,PR-AUC,Validation,0.5533103028750329
Elastic Net,PR-AUC,Train,0.6646994146712344
Elastic Net,PR-AUC,Validation,0.4752128880439916
Elastic Net,PR-AUC,Train,0.6205129940245994
Elastic Net,PR-AUC,Validation,0.5869687893103929
Elastic Net,PR-AUC,Train,0.6229959012865666
Elastic Net,PR-AUC,Validation,0.5879884835546474
Elastic Net,PR-AUC,Train,0.5953408625506694
Elastic Net,PR-AUC,Validation,0.674260220800771
Elastic Net,Accuracy,Test,0.6666666666666666
Elastic Net,Precision,Test,0.5714285714285714
Elastic Net,Recall,Test,0.3076923076923077
Elastic Net,Specificity,Test,0.8695652173913043
Elastic Net,F1-Score,Test,0.4
Elastic Net,ROC-AUC,Test,0.68938127090301
Elastic Net,PR-AUC,Test,0.5880154374995585
SVM,Accuracy,Train,0.6369565217391304
SVM,Accuracy,Validation,0.6379310344827587
SVM,Accuracy,Train,0.6355748373101953
SVM,Accuracy,Validation,0.6434782608695652
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
