Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.717391304347826
Elastic Net,Accuracy,Validation,0.6637931034482759
Elastic Net,Accuracy,Train,0.6963123644251626
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6876355748373102
Elastic Net,Accuracy,Validation,0.6956521739130435
Elastic Net,Accuracy,Train,0.6898047722342733
Elastic Net,Accuracy,Validation,0.6869565217391305
Elastic Net,Accuracy,Train,0.6854663774403471
Elastic Net,Accuracy,Validation,0.7217391304347827
Elastic Net,Precision,Train,0.6989247311827957
Elastic Net,Precision,Validation,0.5555555555555556
Elastic Net,Precision,Train,0.6521739130434783
Elastic Net,Precision,Validation,0.5185185185185185
Elastic Net,Precision,Train,0.6352941176470588
Elastic Net,Precision,Validation,0.6666666666666666
Elastic Net,Precision,Train,0.625
Elastic Net,Precision,Validation,0.65
Elastic Net,Precision,Train,0.6222222222222222
Elastic Net,Precision,Validation,0.7272727272727273
Elastic Net,Recall,Train,0.38922155688622756
Elastic Net,Recall,Validation,0.35714285714285715
Elastic Net,Recall,Train,0.35714285714285715
Elastic Net,Recall,Validation,0.34146341463414637
Elastic Net,Recall,Train,0.32335329341317365
Elastic Net,Recall,Validation,0.3333333333333333
Elastic Net,Recall,Train,0.3592814371257485
Elastic Net,Recall,Validation,0.30952380952380953
Elastic Net,Recall,Train,0.33532934131736525
Elastic Net,Recall,Validation,0.38095238095238093
Elastic Net,Specificity,Train,0.9044368600682594
Elastic Net,Specificity,Validation,0.8378378378378378
Elastic Net,Specificity,Train,0.8907849829351536
Elastic Net,Specificity,Validation,0.8243243243243243
Elastic Net,Specificity,Train,0.8945578231292517
Elastic Net,Specificity,Validation,0.9041095890410958
Elastic Net,Specificity,Train,0.8775510204081632
Elastic Net,Specificity,Validation,0.9041095890410958
Elastic Net,Specificity,Train,0.8843537414965986
Elastic Net,Specificity,Validation,0.9178082191780822
Elastic Net,ROC-AUC,Train,0.7542253377204635
Elastic Net,ROC-AUC,Validation,0.6685971685971687
Elastic Net,ROC-AUC,Train,0.7625751665854056
Elastic Net,ROC-AUC,Validation,0.6232696110744892
Elastic Net,ROC-AUC,Train,0.7246934702024521
Elastic Net,ROC-AUC,Validation,0.7449445531637312
Elastic Net,ROC-AUC,Train,0.7418835797792172
Elastic Net,ROC-AUC,Validation,0.6650358773646445
Elastic Net,ROC-AUC,Train,0.7262413947614974
Elastic Net,ROC-AUC,Validation,0.7400521852576647
Elastic Net,PR-AUC,Train,0.6494912862858926
Elastic Net,PR-AUC,Validation,0.5492812427860676
Elastic Net,PR-AUC,Train,0.6588552613694785
Elastic Net,PR-AUC,Validation,0.4775718382530547
Elastic Net,PR-AUC,Train,0.6186426478505108
Elastic Net,PR-AUC,Validation,0.585945042559719
Elastic Net,PR-AUC,Train,0.621570413924186
Elastic Net,PR-AUC,Validation,0.5844672716086572
Elastic Net,PR-AUC,Train,0.5949884163761914
Elastic Net,PR-AUC,Validation,0.6739123975015165
Elastic Net,Accuracy,Test,0.6597222222222222
Elastic Net,Precision,Test,0.5555555555555556
Elastic Net,Recall,Test,0.28846153846153844
Elastic Net,Specificity,Test,0.8695652173913043
Elastic Net,F1-Score,Test,0.379746835443038
Elastic Net,ROC-AUC,Test,0.6923076923076923
Elastic Net,PR-AUC,Test,0.5832073108568168
SVM,Accuracy,Train,0.6369565217391304
SVM,Accuracy,Validation,0.6379310344827587
SVM,Accuracy,Train,0.6355748373101953
SVM,Accuracy,Validation,0.6434782608695652
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,ROC-AUC,Train,0.7434346324416014
SVM,ROC-AUC,Validation,0.6753539253539252
SVM,ROC-AUC,Train,0.7541646351373313
SVM,ROC-AUC,Validation,0.6094264996704022
SVM,ROC-AUC,Train,0.7062202126359526
